/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 500, normalising constant 0.9952981472015381 -0.025478065013885498
run 3 cop_u 2 DONE 1786.8262
Epoch 100, normalising constant 0.9924281239509583 0.0063037872314453125
Epoch 200, normalising constant 0.9911521077156067 0.01150733232498169
Epoch 300, normalising constant 0.9908179640769958 0.017032086849212646
Epoch 400, normalising constant 0.9906253814697266 0.04026651382446289
Epoch 500, normalising constant 0.9904634356498718 9.071826934814453e-05
run 3 cop_u 3 DONE 4714.2437
Epoch 100, normalising constant 1.0009640455245972 1.901388168334961e-05
Epoch 200, normalising constant 0.9999752640724182 0.0006746649742126465
Epoch 300, normalising constant 0.9976556301116943 0.029217779636383057
Epoch 400, normalising constant 0.9959149360656738 -0.03222912549972534
Epoch 500, normalising constant 0.9945085644721985 0.04038441181182861
run 4 cop_u 0 DONE 2202.859
Epoch 100, normalising constant 0.9982919692993164 -0.00036400556564331055
Epoch 200, normalising constant 0.9988121390342712 -0.00014036893844604492
Epoch 300, normalising constant 0.9989293217658997 -0.0004025697708129883
Epoch 400, normalising constant 0.9987030625343323 0.004063963890075684
Epoch 500, normalising constant 0.998234212398529 0.00747448205947876
run 4 cop_u 1 DONE 2052.616
Epoch 100, normalising constant 1.0012348890304565 -0.00010097026824951172
Epoch 200, normalising constant 1.0000593662261963 0.00043845176696777344
Epoch 300, normalising constant 0.9989182353019714 0.0007914900779724121
Epoch 400, normalising constant 0.9973968863487244 0.020172476768493652
Epoch 500, normalising constant 0.9958860874176025 -0.0058939456939697266
run 4 cop_u 2 DONE 1720.6937
Epoch 100, normalising constant 0.9952051043510437 -0.00017368793487548828
Epoch 200, normalising constant 0.9912194013595581 0.023758411407470703
Epoch 300, normalising constant 0.9900864362716675 0.007207930088043213
Epoch 400, normalising constant 0.9892193675041199 -0.011679351329803467
Epoch 500, normalising constant 0.988684892654419 -0.018155038356781006
run 4 cop_u 3 DONE 4745.168
Epoch 100, normalising constant 1.009598731994629 0.00027555227279663086
Epoch 200, normalising constant 1.0078233480453491 0.0002543926239013672
Epoch 300, normalising constant 1.004215955734253 0.004574596881866455
Epoch 400, normalising constant 1.0017566680908203 -0.03490173816680908
Epoch 500, normalising constant 1.0005022287368774 -0.008698642253875732
run 5 cop_u 0 DONE 1159.5642
Epoch 100, normalising constant 1.0113706588745117 0.0002593994140625
Epoch 200, normalising constant 1.008130669593811 -0.005045056343078613
Epoch 300, normalising constant 1.006589651107788 0.01966923475265503
Epoch 400, normalising constant 1.0047706365585327 0.029509782791137695
